[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20870, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20871, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20872, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20873, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20874, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20875, 'bboxes': []}
[2026-05-04 10:31:01] Received on robot/coral: {'frame': 20876, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20877, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20878, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20879, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20880, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20881, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20882, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20883, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20884, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20885, 'bboxes': []}
[2026-05-04 10:31:02] Received on robot/coral: {'frame': 20886, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20887, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20888, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20889, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20890, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20891, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20892, 'bboxes': []}
[2026-05-04 10:31:03] Received on robot/coral: {'frame': 20893, 'bboxes': []}
[2026-05-04 10:31:05] Received on robot/coral: {'frame': 20894, 'bboxes': []}
[2026-05-04 10:31:05] Received on robot/coral: {'frame': 20895, 'bboxes': []}
[2026-05-04 10:31:05] Received on robot/coral: {'frame': 20896, 'bboxes': []}
